longitude,latitude,height,gravity
135.230269,-25.900342,180.6,978949.12
135.301298,-25.896871,173.2,978949.5
135.357353,-25.895955999999998,169.965,978950.94
135.414017,-25.897624999999998,165.20499999999998,978952.7849999999
135.486601,-25.899955,155.945,978951.655
135.554596,-25.898709,149.07,978954.0
135.609345,-25.901953499999998,143.845,978958.12
135.674595,-25.914038,143.19,978964.62
135.7904335,-25.897787,133.095,978975.5349999999
135.917092,-25.897456,119.85499999999999,978975.0349999999
135.996261,-25.885455,115.52000000000001,978972.19
128.02803849999998,-25.8324755,544.7950000000001,978849.5
128.102201,-25.833086,541.45,978843.81
128.156325,-25.833366,540.87,978843.38
128.2275805,-25.8348485,544.385,978839.845
128.3019815,-25.834722,546.4,978842.845
128.375412,-25.835025,550.44,978853.88
128.426874,-25.835119,558.88,978857.38
128.500304,-25.834893,566.99,978846.12
128.552992,-25.835241,577.03,978847.69
128.626824,-25.8351425,581.51,978841.75
128.700129,-25.835548,591.22,978838.38
128.761321,-25.835871,599.89,978840.31
128.825084,-25.835997,610.845,978844.75
128.900132,-25.83553,632.2,978844.38
128.974247,-25.835771,639.67,978846.0
129.02347650000002,-25.856962000000003,636.02,978850.19
129.113508,-25.838206,636.93,978850.19
129.1592025,-25.8524915,640.12,978851.88
129.247797,-25.83341,652.2149999999999,978849.56
129.298051,-25.8399775,655.61,978850.845
129.359803,-25.845264,660.73,978850.31
129.438232,-25.857415,675.89,978850.62
129.49807800000002,-25.8389605,699.7149999999999,978843.44
129.576055,-25.843212,677.17,978845.62
129.636862,-25.820877,673.89,978846.88
129.6981965,-25.8387785,679.73,978847.19
129.760581,-25.84859,696.63,978843.12
129.840689,-25.841919,704.2,978842.88
129.898486,-25.8378925,703.795,978842.56
129.957956,-25.851919,704.89,978842.69
130.038527,-25.848588,695.61,978839.81
130.097962,-25.8359005,687.96,978829.655
130.158084,-25.850257,690.62,978815.88
130.237317,-25.848586,692.64,978798.88
130.316303,-25.845255,678.79,978787.38
130.37713300000001,-25.833234,683.745,978776.63
130.436775,-25.850254,674.9,978771.62
130.51456,-25.850424,685.03,978764.81
130.563988,-25.847003,698.35,978757.12
130.6118105,-25.8173655,709.6800000000001,978750.19
130.69383950000002,-25.8371545,712.06,978751.25
130.767976,-25.84765,683.46,978755.31
130.85789499999998,-25.8405,664.21,978756.5349999999
130.878265,-25.813560000000003,663.115,978754.75
130.980094,-25.812109,651.24,978752.0
131.034858,-25.817819,646.88,978752.69
131.084359,-25.8453175,653.74,978751.5
131.17537499999997,-25.841415,617.6700000000001,978755.2150000001
131.227503,-25.847157,603.62,978757.69
131.292099,-25.8225275,605.505,978752.69
131.379662,-25.836306,624.16,978748.19
131.433831,-25.839895,635.01,978748.69
131.50871,-25.817884,603.36,978756.81
131.551492,-25.840584,607.84,978760.88
131.645739,-25.835596,600.42,978760.19
131.684379,-25.824413,593.01,978761.62
131.77490799999998,-25.83265,591.8199999999999,978761.845
131.854773,-25.8609665,593.22,978767.62
131.908194,-25.837471,579.97,978773.0
131.967117,-25.82057,569.92,978776.0
132.037296,-25.830455,569.385,978777.905
132.100396,-25.831413,567.08,978780.38
132.173926,-25.8318105,560.865,978779.405
132.245838,-25.832,562.73,978777.0
132.296294,-25.833991,561.115,978779.38
132.386693,-25.834391,558.04,978778.38
132.411793,-25.833455999999998,555.55,978779.0
132.496492,-25.83635,550.52,978786.31
132.577459,-25.8495445,550.155,978785.94
132.622791,-25.821265,544.23,978790.5
132.7005125,-25.826904,545.89,978791.69
132.76679,-25.832013,538.33,978791.5
132.84027,-25.828563,527.22,978793.0
132.900104,-25.833856,528.62,978796.0
132.969758,-25.834699,531.08,978799.69
133.039022,-25.835809,526.12,978803.0
133.099247,-25.828444,526.95,978805.12
133.149378,-25.831059,530.09,978808.38
133.25167950000002,-25.816128499999998,525.8,978815.155
133.2912245,-25.8212715,522.13,978819.5
133.343185,-25.839158,521.67,978825.38
133.42071,-25.830938,502.95,978833.88
133.5029045,-25.8327905,498.885,978840.25
133.56298049999998,-25.832831499999998,489.455,978846.5349999999
133.604613,-25.831226,482.13,978852.81
133.722132,-25.818555,479.86,978861.88
133.76275950000002,-25.8350025,473.64,978864.56
133.842187,-25.817214,446.19,978869.5
133.900886,-25.8361125,430.20500000000004,978876.44
133.961659,-25.818819,435.19,978876.5
134.037332,-25.8410415,419.87,978886.69
134.094948,-25.831552,381.97,978892.19
134.177108,-25.830221,362.44,978900.38
134.239527,-25.82197,346.145,978900.56
134.354696,-25.836214,343.95,978899.56
134.442106,-25.862219,333.43,978910.38
134.50444449999998,-25.832963,271.155,978922.69
134.543274,-25.822378,258.17,978924.88
134.619774,-25.828717,245.34,978929.12
134.692943,-25.843046,231.88,978931.88
134.789772,-25.855216,212.21,978933.19
134.812942,-25.821715,215.13,978933.5
134.87293649999998,-25.828545,208.215,978933.5
134.95719050000002,-25.832709,201.22,978940.19
135.02727,-25.822713,204.5,978940.5
135.083705,-25.841043,196.985,978943.62
135.149269,-25.823392,187.95499999999998,978945.44
135.254188,-25.849376499999998,180.535,978947.31
135.287433,-25.842791,174.725,978949.0
135.351267,-25.830121,167.41,978952.2150000001
135.425431,-25.8111245,160.055,978951.655
135.476436,-25.825709,152.95,978950.38
135.589934,-25.842868,144.32,978951.0
135.649594,-25.833368,147.02,978955.38
135.767093,-25.841701999999998,138.26,978966.595
135.894597,-25.834956,123.34,978966.405
